SMILES1,SMILES2
O=c1[nH]cccc1[N+](=O)[O-],Nc1ccc([N+](=O)[O-])cn1
O=c1ccc([N+](=O)[O-])c[nH]1,Oc1cccc(O)c1
O=c1[nH]cc([N+](=O)[O-])c(=O)[nH]1,C1CNCCN1
O=[N+]([O-])c1cc([N+](=O)[O-])c(C=Cc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,C1=CSC(=C2SC=CS2)S1
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,c1ccc2ccc3ccc4ccc(c1)c2c43
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,CC(=O)n1cc(C)c2ccccc21
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,c1ccc2c(c1)sc1ccccc12
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,c1ccc2nc3ccccc3cc2c1
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,c1cnc2c(c1)ccc1cccnc12
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,Nc1ccc(C(=O)O)cc1
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,C#Cc1cc(C#C)cc(C#C)c1
N#Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,Cn1c2ccccc2c2ccccc21
N#Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,CCn1c2ccccc2c2ccccc21
N#Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,c1ccc2cc3ccccc3cc2c1
N#Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,Nc1cccc(N)c1
O=[N+]([O-])c1cc[n+]([O-])cc1,Nc1ccc(C(=O)O)cc1
O=[N+]([O-])c1cc[n+]([O-])cc1,O=[N+]([O-])c1ccc(O)cc1
O=[N+]([O-])c1cc[n+]([O-])cc1,Nc1ccccc1C(=O)O
