INDEX,SYNONYMS,SMILES
0,molecule0,O=c1[nH]cccc1[N+](=O)[O-]
1,molecule1,O=c1ccc([N+](=O)[O-])c[nH]1
2,molecule2,O=c1[nH]cc([N+](=O)[O-])c(=O)[nH]1
3,molecule3,O=[N+]([O-])c1cc([N+](=O)[O-])c(C=Cc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1
4,molecule4,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
5,molecule5,N#Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
6,molecule6,O=[N+]([O-])c1cc[n+]([O-])cc1
7,molecule7,N#CC(C#N)=C1c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-]
8,molecule8,O=C1c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-]
9,molecule9,O=[N+]([O-])c1cc2nsnc2c2nsnc12
10,molecule10,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1
11,molecule11,O=C1c2cc([N+](=O)[O-])ccc2-c2ccc([N+](=O)[O-])cc21
12,molecule12,O=C1c2cccc([N+](=O)[O-])c2C(=O)c2c1cccc2[N+](=O)[O-]
13,molecule13,O=[N+]([O-])c1cccc2cnccc12
14,molecule14,O=[N+]([O-])c1cccc2ncccc12
15,Nitrofurantoin£¨ß»à«Í×Òò£©,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1
16,molecule16,[O-][n+]1c(-c2ccccc2)ccc2ccccc21
17,molecule17,[O-][n+]1c2ccccc2[n+]([O-])c2ccccc21
18,molecule18,[O-][n+]1cc[n+]([O-])c2ccccc21
19,molecule19,[O-][n+]1ccc(-c2cc[n+]([O-])cc2)cc1
20,molecule20,[O-][n+]1ccc(-c2ccncc2)cc1
21,molecule21,[O-][n+]1ccc(-c2nnc(-c3cc[n+]([O-])cc3)o2)cc1
22,molecule22,[O-][n+]1ccc(-c2nnc(-c3ccncc3)o2)cc1
23,molecule23,[O-][n+]1ccccc1-c1cccc(-c2cccc[n+]2[O-])n1
24,molecule24,[O-][n+]1ccccc1-c1cccc[n+]1[O-]
25,molecule25,[O-][n+]1ccccc1SSSc1cccc[n+]1[O-]
26,molecule26,[O-][n+]1onc2c1c1no[n+]([O-])c1c1no[n+]([O-])c21
27,molecule27,C#Cc1ccc(C#C)cc1
28,molecule28,C(=Cc1ccccn1)c1ccccn1
29,molecule29,C(=Cc1ccccn1)c1ccncc1
30,molecule30,C(C=Cc1ccncc1)=Cc1ccncc1
31,molecule31,C(=Cc1ccncc1)c1ccncc1
32,molecule32,C(=NN=Cc1ccccn1)c1ccccn1
33,molecule33,C(=NN=Cc1cccnc1)c1cccnc1
34,molecule34,C(=NN=Cc1ccncc1)c1ccncc1
35,molecule35,c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1
36,molecule36,c1ccc(-c2nccn2Cc2cccnc2)cc1
37,molecule37,c1cncc(Cn2cnc3ccccc32)c1
38,molecule38,c1ccc(-c2nccn2Cc2ccncc2)cc1
39,molecule39,c1cc(CCc2ccncc2)ccn1
40,molecule40,c1cc(CCCc2ccncc2)ccn1
41,molecule41,C(=NCCN=Cc1ccccc1)c1ccccc1
42,molecule42,c1ccc(CNc2ncnc3[nH]cnc23)cc1
43,molecule43,C[N+]1(C)CC(O)CC1C(=O)O
44,molecule44,C[N+]1(CC(=O)O)CC[N+](C)(CC(=O)O)CC1
45,molecule45,C[N+]1(CC(=O)O)CCCCC1
46,molecule46,C[N+]1(CC(=O)O)CCOCC1
47,molecule47,C[n+]1cccc(C(=O)O)c1
48,molecule48,C=CCn1c(=C(C#N)C#N)c2ccccc2c1=C(C#N)C#N
49,molecule49,c1c[nH]c(-c2ncc[nH]2)n1
50,molecule50,c1cc(-c2ccncc2)c2c(-c3ccncc3)cccc2c1
51,molecule51,C(#Cc1ccncc1)c1ccncc1
52,molecule52,c1cc(-c2ccc(-c3ccncc3)c3nsnc23)ccn1
53,molecule53,c1cc(-c2ccncc2)ccn1
54,molecule54,c1cc(-c2cncnc2)ccn1
55,molecule55,c1cc(N=Nc2ccncc2)ccn1
56,molecule56,C1=CSC(=C2SC3=C(CCC3)S2)S1
57,molecule57,C1CC2=C(C1)SC(=C1SC3=C(CCC3)S1)S2
58,molecule58,c1cc2c(ccc3sc4ccc5sccc5c4c32)s1
59,molecule59,c1cc2c3ccsc3c3c4sccc4c4ccsc4c3c2s1
60,molecule60,c1cc2ccc3cccc4ccc(c1)c2c34
61,molecule61,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
62,molecule62,C(#Cc1ccccc1)c1ccccc1
63,molecule63,c1ccc(-c2ccncc2)cc1
64,molecule64,c1ccc(N=Nc2ccccc2)cc1
65,molecule65,c1ccc(-c2ccccn2)nc1
66,molecule66,c1ccc(-c2n[nH]c(-c3ccccn3)n2)nc1
67,molecule67,c1ccc(-c2nc[nH]n2)nc1
68,molecule68,c1ccc(-c2nccnc2-c2ccccn2)nc1
69,molecule69,c1ccc2[nH]c(-c3ccncc3)nc2c1
70,Benzimidazole£¨±½²¢ßäßò£©,c1ccc2[nH]cnc2c1
71,molecule71,c1ccc2c(c1)[nH]c1c3ccccc3sc21
72,molecule72,c1ccc2c(c1)[nH]c1ccccc12
73,molecule73,c1ccc2c(c1)C(=C1c3ccccc3-c3ccccc31)c1ccccc1-2
74,molecule74,c1ccc2c(c1)ccc1c3ccccc3ccc21
75,molecule75,c1ccc2c(c1)ccc1ccc3ccccc3c12
76,molecule76,c1ccc2c(c1)cnc1ccccc12
77,molecule77,c1ccc2c(c1)c1ccccc1c1ccccc21
78,molecule78,c1ccc2cc3cc4ccccc4cc3cc2c1
79,molecule79,c1ccc2cc3ccccc3cc2c1
80,molecule80,c1ccc2ccccc2c1
81,molecule81,c1ccc2nc3ccccc3cc2c1
82,molecule82,c1ccc2nc3ccccc3nc2c1
83,molecule83,c1ccc2nccnc2c1
84,molecule84,c1ccc2ncncc2c1
85,molecule85,c1cn(-c2ccc(-c3cncnc3)cc2)cn1
86,molecule86,c1cn(-c2ccc(-n3ccnc3)cc2)cn1
87,molecule87,c1cn(-c2cncnc2)cn1
88,molecule88,C1CN2CN3CCN(CN1C3)C2
89,molecule89,c1cnc2c(c1)ccc1cccnc12
90,molecule90,c1cnc2ccc3ncc4cccn4c3c2c1
91,molecule91,c1cnc2ccc3ncccc3c2c1
92,molecule92,c1cncc(N=Nc2cccnc2)c1
93,molecule93,C1COC2=C(O1)SC(=C1SC3=C(SCCS3)S1)S2
94,molecule94,c1c2c(cc3c1SC(=C1Sc4cc5c(cc4S1)OCCO5)S3)OCCO2
95,molecule95,C1CSC2=C(S1)SC(=C1SC3=C(SCCS3)S1)S2
96,Methenamine£¨ÎÚÂåÍÐ£©,C1N2CN3CN1CN(C2)C3
97,molecule97,C1SC2=C(S1)SC(=C1SC3=C(SCS3)S1)S2
98,Epalrestat£¨ÒÀÅÁË¾Ëû£©,CC(=Cc1ccccc1)C=C1SC(=S)N(CC(=O)O)C1=O
99,molecule99,CC(C)=Nc1ccc(N=C(C)C)cc1
100,Isoniazid£¨ÒìÑÌëÂ£©,CC(C)=NNC(=O)c1ccncc1
101,molecule101,CC(=NO)c1ccccc1
102,molecule102,CC(=O)C(C)=NNc1ccccc1
103,molecule103,CC(=O)C=C(C)Nc1ccc(C#N)cc1
104,molecule104,CC(=O)c1c(O)cc(O)cc1O
105,molecule105,CC(=O)c1cc(Cl)cc([N+](=O)[O-])c1O
106,Pregnenolone£¨ÔÐÏ©´¼Íª£©,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
107,Progesterone£¨»ÆÌåÍª£©,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
108,molecule108,CC(=O)c1cccc(C(C)=O)n1
109,Ketoconazole£¨Íª¿µßò£©,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
110,molecule110,CC(=O)NC(C)=O
111,molecule111,CC(=O)Nc1ccc(C(=O)O)cc1
112,Acetaminophen£¨¶ÔÒÒõ£°±»ù·Ó£©,CC(=O)Nc1ccc(O)cc1
113,molecule113,CC(=O)Nc1cccc(C)n1
114,molecule114,CC(=O)Nc1ccccn1
115,Acetazolamide£¨ÒÒõ£ßò°·£©,CC(=O)Nc1nnc(S(N)(=O)=O)s1
116,Sulfacetamide£¨»Ç°·´×õ££©,CC(=O)NS(=O)(=O)c1ccc(N)cc1
117,Megestrol Acetate£¨´×Ëá¼×µØÔÐÍª£©,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C
118,Triflusal£¨Èý·úÁø£©,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O
119,Nitazoxanide£¨ÏõßòÄáÌØ£©,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
120,Aspirin£¨°¢Ë¾Æ¥ÁÖ£©,CC(=O)Oc1ccccc1C(=O)O
121,Spironolactone£¨ÂÝÄÚõ¥£©,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12
122,molecule122,CC(C(=O)O)[N+]12CCC(CC1)CC2
123,Flurbiprofen£¨·ú±ÈÂå·Ò£©,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
124,Carprofen£¨¿¨Âå·Ò£©,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12
125,molecule125,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C
126,molecule126,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
127,molecule127,CC(C)C(N)C(=O)O
128,Propyphenazone£¨Òì±û°²Ìæ±ÈÁÖ£©,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C
129,Gossypol£¨ÃÞ×Ó·Ó£©,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
130,molecule130,CC(C)CC(CN)CC(=O)O
131,Ibuprofen£¨²¼Âå·Ò£©,CC(C)Cc1ccc(C(C)C(=O)O)cc1
132,Cholesterol£¨µ¨¹Ì´¼£©,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
133,Febuxostat£¨·Ç²¼Ë¾Ëû£©,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O
134,molecule134,CC(C)OC(=S)Nc1ccccc1
135,Voriconazole£¨·üÁ¢¿µßò£©,CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F
136,molecule136,CC(CC(=O)O)c1ccc(F)cc1
137,molecule137,Cc1cccc(C(C)CC(=O)O)c1
138,Cholic Acid£¨µ¨Ëá£©,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
139,molecule139,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C
140,Deoxycholic Acid£¨ÍÑÑõµ¨Ëá£©,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C
141,Zileuton£¨ÆëÁôÍ¨£©,CC(c1cc2ccccc2s1)N(O)C(N)=O
142,molecule142,CC(N)C(=O)O
143,molecule143,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
144,molecule144,CC(Oc1ccccc1)C(=O)O
145,molecule145,CC[N+]1(CC(=O)O)CCCCC1
146,molecule146,CC1(C(=O)O)CCC(C(=O)O)C1(C)C
147,molecule147,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O
148,molecule148,C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC=C1C(=O)OCC1O
149,molecule149,CC12Cc3c[nH]nc3CC1CCC1C2CCC2(C)C1CCC2(C)O
150,molecule150,CC1=C(C)SC(=C2C(=O)c3ccccc3C2=O)S1
151,molecule151,CC1=C(C)SC(=C2SC(C)=C(C)S2)S1
152,molecule152,CC1=C(C)SC(=C2SC=CS2)S1
153,molecule153,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O
154,molecule154,Cc1c(-c2cc(Br)c(O)c(Br)c2)oc2ccc(O)cc2c1=O
155,molecule155,Cc1cc(=C(C#N)C#N)c(C)cc1=C(C#N)C#N
156,molecule156,Cc1ccc(COc2cc(C)oc(=O)c2)cc1
157,molecule157,Cc1cccc(COc2cc(C)oc(=O)c2)c1
158,molecule158,Cc1cc(OCc2cccc(Cl)c2)cc(=O)o1
159,molecule159,Cc1cc(OCc2cccc3ccccc23)cc(=O)o1
160,molecule160,Cc1cc(OCc2ccccc2)cc(=O)o1
161,molecule161,Cc1cc(C)[nH]c(=O)n1
162,molecule162,CC1=CC(=O)C(C)=CC1=O
163,Menadione£¨¼×ÝÁõ«£©,CC1=CC(=O)c2ccccc2C1=O
164,Thymine£¨ÐØÏÙà×à¤£©,Cc1c[nH]c(=O)[nH]c1=O
165,Danazol£¨´ïÄÇßò£©,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C
166,molecule166,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2=O
167,Androsterone£¨ÐÛçÞÍª£©,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O
168,Exemestane£¨ÒÀÎ÷ÃÀÌ¹£©,C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
169,molecule169,CC12C=CC(=O)C=C1CCC1C2CCC2(C)C(=O)CCC12
170,molecule170,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
171,molecule171,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O
172,Estrone£¨´ÆÍª£©,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O
173,Estradiol£¨´Æ¶þ´¼£©,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
174,molecule174,Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(O)c1[N+](=O)[O-]
175,molecule175,Cc1c(C)[n+]([O-])c(-c2c(C)[n+]([O-])c(C)c(C)[n+]2[O-])c(C)[n+]1[O-]
176,molecule176,Cc1c(C)[n+]([O-])c(C)c(C)[n+]1[O-]
177,molecule177,Cc1c(C)[n+]([O-])c2ccccc2[n+]1[O-]
178,molecule178,C#Cc1c(C)c(C)c(C#C)c(C)c1C
179,molecule179,Cc1c(C)c(C)c(C)c(C)c1C
180,molecule180,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
181,molecule181,Cc1c([N+](=O)[O-])cc(C(=O)O)cc1[N+](=O)[O-]
182,Tolfenamic acid£¨ÍÐ·ÒÄÇËá£©,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O
183,molecule183,Cc1c(N)ccc(Cl)c1F
184,molecule184,Cc1c[n+]([O-])ccc1[N+](=O)[O-]
185,molecule185,Cc1c[nH]cn1
186,molecule186,Cc1cc(C)[nH]n1
187,molecule187,Cc1cc(C)cc(C(=O)O)c1
188,molecule188,Cc1cc(C)n(-c2ccccc2)n1
189,molecule189,Cc1cc(C)n(-c2nnc(-n3nc(C)cc3C)nn2)n1
190,molecule190,Cc1cc(C)nc(N)n1
191,Sulfamethazine£¨»Ç°·¶þ¼×à×à¤£©,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
192,Etravirine£¨ÒÀÇúÎ¤ÁÖ£©,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br
193,molecule193,Cc1cc(Cl)nc(N)n1
194,molecule194,Cc1cc(O)c(C)cc1O
195,molecule195,Cc1cc(O)cc(C)c1Cl
196,molecule196,Cc1cc(O)cc(O)c1
197,molecule197,Cc1cc(O)ccc1[N+](=O)[O-]
198,molecule198,Cc1cc2c(=C(C#N)C#N)ccc(=C(C#N)C#N)c2cc1C
199,molecule199,Cc1cc2nc(N=C(N)N)[nH]c2cc1C
200,molecule200,Cc1ccc(C)c(C(=O)O)c1
201,molecule201,Cc1ccc(C(N)=O)cc1
202,molecule202,Cc1ccc(C(=O)O)cc1
203,Celecoxib£¨ÈûÀ´Îô²¼£©,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
204,molecule204,Cc1ccc(-c2nc(N)nc(N)n2)cc1
205,Diamicron£¨¸ñÁÐÆëÌØ£©,Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1
206,molecule206,Cc1ccc(S(=O)(=O)NCC(=O)O)cc1
207,Meclofenamic Acid£¨¼×ÂÈ·ÒÄÇËá£©,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
208,molecule208,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1
209,molecule209,Cc1ccc(O)cc1
